MemberID,Customer ID,Classification
CHANAA950,240873,GP
CHANDL015,151450,GP
CHAUDH048,220110,GP
CHENAA306,165522,GP
CHENAA307,165720,GP
CHENGA141,135948,GP
CHEWPA003,180980,GP
CHHABR004,164085,GP
CHIAAA104,171121,GP
CHINAA165,187445,GP
CHIONH006,163123,GP
CHONGA193,172294,GP
CHONGA259,220799,GP
CHUAAA200,134165,GP
CHUAAA307,234395,GP
COLERI002,152537,GP
COLLIN152,171404,GP
COLLYE009,190378,GP
COMBEN002,147336,GP
CONNEL030,165313,GP
COOPER157,178946,GP
CORBET024,134185,GP
CORFIE004,233100,GP
COUNSE003,186605,GP
CRAVEN021,189014,GP
CRAWFO071,108942,GP
CROTHE004,133797,GP
CUIAAA015,199768,GP
CURTIN017,165882,GP
DAIAAA012,210978,GP
DAIMAA002,200383,GP
DAOAAA024,211390,GP
DASCOM001,134440,GP
DAVIES164,152147,GP
DAVISA212,189167,GP
DAYAAA057,142724,GP
DEAKER002,140466,GP
DEDICA004,163394,GP
DELAIL001,142270,GP
DERRIC005,172164,GP
DHILLO017,151272,GP
DIAZAA008,163437,GP
DISSAN045,236015,GP
DOHERT038,141063,GP
DONALD068,180738,GP
DORIAA002,222041,GP
DREIMA001,183790,GP
DUFFYA045,150401,GP
DUKEAA022,199465,GP
DURDEN001,135405,GP
EDWARD213,176187,GP
EKANAY007,150472,GP
EVANSA192,165278,GP
EVANSA243,236640,GP
FANGAA054,234827,GP
FAULKN019,183871,GP
FENGAA026,191496,GP
FLODEN001,172344,GP
FOLEYA035,153463,GP
FORRES052,219382,GP
FORSTE023,212129,GP
FRENCH052,228897,GP
GALEAA031,178254,GP
GALLAG054,188747,GP
GAOAAA012,161297,GP
GARGAA027,165402,GP
GARRET026,174126,GP
GAVINA003,152522,GP
GENGAT001,135889,GP
GERGIS009,182728,GP
GERSBA001,153931,GP
GIRARD003,227558,GP
GLASTO007,207672,GP
GORDON087,141599,GP
GOUGHA017,226794,GP
GOULDI011,227624,GP
GROVEJ003,137540,GP
GUIRGU020,156651,GP
GUPTAA100,144783,GP
HABECK001,163263,GP
HALLAA147,144040,GP
HAMMON037,226553,GP
HATWEL003,235918,GP
HAVIVA001,135134,GP
HAYESA096,162684,GP
HEMANA003,202543,GP
HEMPEN003,170754,GP
HENDER082,141670,GP
HERBER035,235853,GP
HEWITT024,122535,GP
HILLAA151,150572,GP
HILLEN004,166838,GP
HINTON005,176889,GP
HOAAAA442,233678,GP
HORTON018,200022,GP
HOYAAA016,142877,GP
HSIAOA006,122189,GP
HULLAA015,178216,GP
HUTTON019,159803,GP
HYTTEN003,219735,GP
IMPEYA001,168141,GP
ISLAMA079,236203,GP
ISREBA001,140908,GP
ISSAAA007,242746,GP
JAMESA156,188975,GP
JARRET009,150565,GP
JAYAKU004,189786,GP
JAYATI012,143386,GP
JINAAA033,211823,GP
JOHANN007,214830,GP
JOHNSA026,123236,GP
JOHNST164,190657,GP
JONESA422,183965,GP
JOSEPH094,172912,GP
JOVANO004,212835,GP
JUDGEA007,157626,GP
JULIER001,186481,GP
KABIRA008,145712,GP
KALICA003,234449,GP
KANEAA017,182093,GP
KANNAN010,148229,GP
KAPADI016,241215,GP
KELLYA262,229603,GP
KERSTE001,163775,GP
KEVINA012,223634,GP
KHANAA250,194595,GP
KHLENT002,122982,GP
KHOKHA003,183671,GP
KINGST024,184989,GP
KOCIMS001,135686,GP
KODAKA001,182825,GP
KRASNO001,108442,GP
KREISA002,141200,GP
KRUYSS001,151908,GP
LAAKMA001,108105,GP
LAHAAA010,189738,GP
LAIDLE002,147091,GP
LAMBER039,203224,GP
LASTAA005,153136,GP
LAUAAA237,142947,GP
LAWLEY002,173415,GP
LEAAAA163,189184,GP
LEEAAA947,141330,GP
LEEAAAA84,164250,GP
LEEAAAF40,228986,GP
LEONGA140,165920,GP
LEUNGA170,195269,GP
LEVITU001,163772,GP
LIANGA046,184004,GP
LIMAAA607,153971,GP
LIMAAA936,243368,GP
LINTAG002,221811,GP
LIUAAA179,164289,GP
LIUAAA207,171171,GP
LIUAAA215,181994,GP
LIVING024,191065,GP
LORDAA023,151371,GP
LORDAA027,236464,GP
LOSCHA001,179862,GP
LUCENA002,196840,GP
LUIAAA040,168764,GP
LUKINS005,211422,GP
LYNCHA068,152723,GP
MACGIN003,153666,GP
MADAPP001,189648,GP
MAHERA052,213276,GP
MAHONE023,162557,GP
MAKAAA032,161082,GP
MALOUF028,157218,GP
MANNIN030,163700,GP
MARINE004,140850,GP
MAROBA001,209643,GP
MARPLE003,212820,GP
MARTIN266,151957,GP
MARTIN268,153317,GP
MATICA004,152196,GP
MAYNAR009,134998,GP
MAYNAR011,108653,GP
MCCANN022,227143,GP
MCCORK004,176224,GP
MCCORM061,194041,GP
MCDONA129,172575,GP
MCHUGH012,141911,GP
MCMAHO066,163641,GP
MCMAHO092,233250,GP
MCWILL010,188302,GP
MICHAE040,142680,GP
MICHNI004,153655,GP
MILLER188,162140,GP
MILLSA095,218191,GP
MODIAA007,227572,GP
MOGGAA005,142678,GP
MORGAN178,155687,GP
MOSELE010,227390,GP
MOSTOF003,235658,GP
MURNAN001,179804,GP
NAHIMA001,222028,GP
NAIDOO039,173425,GP
NAIRAA030,134338,GP
NAPRAS003,150516,GP
NGAAAA613,229427,GP
NGUYEN412,135571,GP
NGUYEN467,153721,GP
NIELSE020,186580,GP
OCONNO020,190943,GP
ODONNE022,142460,GP
OHAREA014,227499,GP
ONEILL073,233237,GP
OOAAAA052,236398,GP
PANAAA034,236246,GP
PAOAAA001,150436,GP
PAPALI002,158745,GP
PARKER132,172226,GP
PATELA163,163174,GP
PATELA193,186464,GP
PATERS066,237311,GP
PENGAA014,161703,GP
PENMAN002,135045,GP
PHILLI163,182147,GP
POSTLE008,231140,GP
POWERA059,181368,GP
QUAHAA019,208087,GP
RAHATH001,240250,GP
RATCLI026,221819,GP
RAYERS003,162919,GP
REICHL002,210393,GP
RETCHF004,229074,GP
ROEXAA003,208776,GP
ROSENT013,162408,GP
ROTHAA021,181251,GP
ROUHIA002,178456,GP
ROWAAA007,172123,GP
ROWSHA002,222499,GP
RUSLIA006,199903,GP
RYANAA256,232465,GP
RYANAA264,239949,GP
SALAGA009,187028,GP
SAMARA069,220863,GP
SAMUEL034,187685,GP
SANDER053,138207,GP
SANTHA005,153778,GP
SAUNDE067,210615,GP
SAUVEA001,138103,GP
SAVICK001,142748,GP
SCHMID035,141593,GP
SEERMA005,170998,GP
SELTSO001,150580,GP
SELWOO002,162496,GP
SEOWAA026,235868,GP
SHAHNA004,163202,GP
SHAJAN001,165378,GP
SHEEDA002,171562,GP
SHEHZA004,203166,GP
SHUBHR001,126827,GP
SINGHA420,202479,GP
SINGHA527,235901,GP
SIVAKU039,162277,GP
SKIPPE006,188551,GP
SKOVAA004,178337,GP
SMEKEL002,223665,GP
SONGAA029,164505,GP
SPENCE088,186436,GP
SPICER012,228947,GP
SPIERA001,153570,GP
SRINIV040,201358,GP
STEPHE129,163786,GP
STEPHE146,193645,GP
STEVEN178,161860,GP
STOKES036,135477,GP
SUDURI002,142889,GP
SULLIV077,140464,GP
SURESH011,159323,GP
SYAAAA010,236835,GP
SZALLA002,150654,GP
TAMERA004,227482,GP
TAMERA005,229020,GP
TANAAA717,159223,GP
TANAAA730,161637,GP
TANAAA766,169098,GP
TANAAA866,190330,GP
TANAAAA42,226451,GP
TANJUN001,151003,GP
TANOTO001,171242,GP
TANZEN001,158858,GP
TAYLOR310,157599,GP
TEDDER004,186297,GP
TEDESC008,239397,GP
TEHAAA098,210369,GP
TEOAAA112,241396,GP
TERESH007,196611,GP
THANGA017,123459,GP
THANTA012,243355,GP
THIAAA007,234991,GP
THOMPS174,124094,GP
THORPE020,180284,GP
TINGAA094,184755,GP
TINGAA128,241309,GP
TRANAA295,186354,GP
TRANTE005,158090,GP
TSANGA053,234032,GP
TULLOC003,151307,GP
ULLAHA005,153761,GP
VANBER004,210110,GP
VANDIE003,168886,GP
VEERAR001,195004,GP
VERMAA046,173702,GP
VOAAAA057,235412,GP
WADDEL011,180248,GP
WALLEY002,152631,GP
WALLIN009,158785,GP
WANAAA057,233657,GP
WANGAA196,163456,GP
WEGREC001,162930,GP
WESTON021,122929,GP
WHITCH011,235417,GP
WILLIA442,174449,GP
WILSON374,154075,GP
WIMBER001,141900,GP
WONGAA943,186086,GP
WOOAAA082,200081,GP
WOODAA163,165384,GP
WOODAA185,166974,GP
WOODWA021,169856,GP
WUAAAA237,226744,GP
YABSLE003,159950,GP
YAMAAA017,164357,GP
YASSAA001,122603,GP
YOUAAA018,233414,GP
YUEAAA017,191821,GP
YUENAA066,228096,GP
ZAMANA029,243493,GP
ZAWAAA018,236844,GP
ZHANGA170,191285,GP
ZHAOAA024,161614,GP
10091,109874,GP
11553,110712,GP
12736,111265,GP
13958,111794,GP
17046,57201,GP
202597,47478,GP
210514,101848,GP
210911,101875,GP
216567,102072,GP
221153,102299,GP
223099,102670,GP
223539,102861,GP
224181,103220,GP
224673,103536,GP
224801,103642,GP
225320,104090,GP
225390,104155,GP
225411,104171,GP
225489,104216,GP
320234,104334,GP
320414,104452,GP
320437,104475,GP
320441,104479,GP
321529,104581,GP
321636,104674,GP
321864,104860,GP
322250,105176,GP
322257,105183,GP
322791,105400,GP
322947,105480,GP
323216,105599,GP
324279,105903,GP
370808,115692,GP
7695,117670,GP
ALARCO005,124205,GP
ALEXAN130,178240,GP
ALOMAA001,134497,GP
ALSAMA003,161073,GP
ALSAMA006,186965,GP
ANANDA026,119230,GP
ANGSTM004,175113,GP
ANNAKK001,122474,GP
ANTARA001,136889,GP
ARANDE004,226976,GP
ARDERN002,142162,GP
ARMOUR002,142214,GP
AWADAA015,199587,GP
AWMEEA002,215979,GP
BAKERA122,120211,GP
BARRET063,135068,GP
BARRET065,140898,GP
BARRYA055,169275,GP
BEESTO005,175121,GP
BENDAL006,170105,GP
BENNET141,123374,GP
BENSON013,40164,GP
BHATNA001,123173,GP
BIALCZ001,141810,GP
BISHAR003,99240,GP
BOLAND012,155916,GP
BONDAA039,122588,GP
BOOTHA037,180657,GP
BOTANA001,187512,GP
BRAIUK001,133689,GP
BREITK002,108872,GP
BRONSE002,180454,GP
BROWNA302,141946,GP
BROWNA343,171107,GP
BULLAA019,165847,GP
BURKEA075,106869,GP
BURNEL006,126048,GP
BURREL018,192030,GP
BUTLIN001,141101,GP
CAMERO128,153548,GP
CAMPBE200,142485,GP
CARROL078,126669,GP
CHAMOU002,219826,GP
CHANAA558,109243,GP
CHANAA580,121817,GP
CHANAA615,135841,GP
CHANDL014,92571,GP
CHANGA120,124661,GP
CHANGA141,156251,GP
CHENAA197,108508,GP
CHENAA262,141584,GP
CHENAA282,150198,GP
CHENAA373,186882,GP
CHENAA392,191678,GP
CHENGA148,141559,GP
CHEONG047,142078,GP
CHETTY007,119010,GP
CHITSO004,177015,GP
CHONGA237,203884,GP
CHOWAA146,226665,GP
CHRIST092,92402,GP
CHUAAA160,91941,GP
CHUAAA269,208436,GP
CLAYWO001,109292,GP
COLLIN117,133757,GP
COMMIN004,197514,GP
CONNON003,158217,GP
CONNOR048,176634,GP
CORCOR017,197361,GP
CORDEA001,150512,GP
CRYERA002,163227,GP
CUMMIN051,125147,GP
CUMMIN063,205451,GP
DAKINA006,170339,GP
DARMOA002,204573,GP
DAVISA163,123039,GP
DAVISA178,145680,GP
DAWSON062,208272,GP
DEADYA005,134474,GP
DEFRAN002,124251,GP
DEMEDI003,197863,GP
DENTON007,126369,GP
DENTON009,188599,GP
DEROOY001,186344,GP
DERSAR002,123845,GP
DESHON001,133502,GP
DESILV013,152429,GP
DESILV023,161541,GP
DESILV120,75249,GP
DHILLO029,199450,GP
DOANVA003,134697,GP
DUFFYA041,142399,GP
DUNCAN059,166484,GP
DUNCAN065,180936,GP
DUNSTA012,166761,GP
DUONGA001,5777,GP
DURAIS001,34486,GP
DYNANA001,141769,GP
ELSOMA002,124176,GP
EPSTEI019,167619,GP
FANKHA001,159962,GP
FAYMAN001,190305,GP
FERGUS086,135496,GP
FERNAN099,134059,GP
FERNAN224,227271,GP
FILEWO006,99898,GP
FINKEL013,218480,GP
FOLEYA033,151529,GP
FORRES046,180903,GP
FRIEND014,164151,GP
GALLAT002,168992,GP
GANGEM004,141671,GP
GAULTA006,178094,GP
GENDRO001,142720,GP
GEORGE070,106466,GP
GILLAA054,99795,GP
GILLOT002,92385,GP
GISKES001,134650,GP
GOHAAA009,7534,GP
GOODHE006,178932,GP
GOODRI007,155514,GP
GRAHAM139,167115,GP
GRANDJ002,152223,GP
GREENA134,91885,GP
GRIFFI158,191208,GP
GUIMAR001,142695,GP
GUNALA003,236545,GP
GURUNG005,136367,GP
GUTTMA003,181283,GP
HABOOS001,154434,GP
HAMMON025,120689,GP
HANBUR004,141944,GP
HARONA006,109156,GP
HARRIN025,168322,GP
HARVEY103,159806,GP
HEAAAA013,122966,GP
HEINER006,190446,GP
HEKELA002,98163,GP
HEMPEN004,187286,GP
HERBER021,122242,GP
HILLWO002,147133,GP
HOFFMA034,132869,GP
HONORE002,151175,GP
HONORE003,157222,GP
HOUGHA006,180119,GP
HUDSON039,168776,GP
HUGHES146,125160,GP
HUIAAA034,123038,GP
HUNTAA054,98993,GP
HURAAA008,149868,GP
HUTCHI063,194622,GP
INBANA001,181209,GP
JAINAA020,123623,GP
JAYAAA011,182314,GP
JEYAPR003,135702,GP
JIRASE001,123565,GP
JONESA321,133230,GP
JORGEN012,121453,GP
JUNGAA019,169230,GP
KAKOAA001,163906,GP
KALYUG001,134745,GP
KANAAA020,99617,GP
KANTER004,150508,GP
KATHAG002,141508,GP
KEENAA007,96230,GP
KELLYA170,132982,GP
KILLEY004,186361,GP
KINSEL006,160995,GP
KISHID002,167003,GP
KITCHI009,189426,GP
KOBLAR003,135549,GP
KODSIA006,191304,GP
KOEFLE002,123612,GP
KOMMID003,186536,GP
KONGKA002,168799,GP
KOPPAK001,123446,GP
KROEGE001,141570,GP
KROSCH003,150376,GP
KUDITH001,123405,GP
KULTHU003,226541,GP
KUNZER001,162819,GP
KUOAAA040,221298,GP
LAMAAA169,107547,GP
LAMAAA245,179832,GP
LAYAAA006,123698,GP
LAYAAA011,160472,GP
LEAAAA178,203260,GP
LEEAAAF73,235128,GP
LEEKSA003,150617,GP
LEESAA025,133639,GP
LEIAAA004,119739,GP
LENNON016,107516,GP
LEONGA126,150438,GP
LEUNGA135,151881,GP
LEUNGA136,152277,GP
LIMAAA565,142437,GP
LIMAAA620,158272,GP
LIUAAA148,142944,GP
LLOYDA052,122808,GP
LLOYDF001,152697,GP
LOAAAA104,181834,GP
LOGANA032,181796,GP
LORENZ017,222067,GP
LOUKAS004,123198,GP
LUCEWI001,147392,GP
LUKSAA002,169661,GP
LUONGA013,152036,GP
LUUAAA021,122543,GP
MACDON067,123681,GP
MACHIN004,158249,GP
MACKEN062,149955,GP
MACLEO032,168849,GP
MAGESW001,109315,GP
MAHAAA035,125189,GP
MAHERA046,191032,GP
MAJEED002,134482,GP
MALONE026,108102,GP
MANNIN021,119741,GP
MANNIO002,140871,GP
MAPLES003,133619,GP
MARANO002,123718,GP
MARSHA175,203083,GP
MATHEW096,241101,GP
MATTHE094,144221,GP
MAXWEL049,226533,GP
MBALAM001,178933,GP
MCALPI009,157813,GP
MCINTO030,140467,GP
MCLAYA002,91061,GP
MEYERK004,158238,GP
MIDDLE052,143355,GP
MIKHAI018,136251,GP
MIKHAI029,190934,GP
MILLER162,100637,GP
MINAAA019,191860,GP
MISSIA002,124052,GP
MISTRY009,151953,GP
MOHANA012,118991,GP
MOLLOY017,149837,GP
MORROW023,180758,GP
MOTTLA004,126387,GP
MUKESH001,146341,GP
MUMFOR005,123333,GP
MUNIND001,142212,GP
MURRAY138,181215,GP
MYCHAE003,165823,GP
NANDAM005,132938,GP
NELSON064,163666,GP
NELSON073,199676,GP
NEWELL015,191151,GP
NGAAAA482,181851,GP
NGUYEN323,95286,GP
NGUYEN394,124216,GP
NGUYEN571,178714,GP
NGUYEN842,240929,GP
NIAPAA002,141173,GP
NICHOL110,94957,GP
NICHOL162,190911,GP
NICHOL175,209296,GP
NORSWO003,157545,GP
NOVYTS001,124067,GP
NUNNAA009,152832,GP
ONEILA002,167017,GP
ONEILL030,203264,GP
OSBORN074,209295,GP
OSULLI026,120680,GP
OWENAA037,124701,GP
PAAVOL001,158679,GP
PAPADO022,180952,GP
PARATO001,151331,GP
PARKAA042,124160,GP
PATONA034,193810,GP
PAXTON008,152294,GP
PERVEZ002,158796,GP
PFEFFE003,161516,GP
PHUAAA011,150525,GP
PICKER022,200486,GP
PINOLO001,134339,GP
POPAAA006,169401,GP
PRABAH003,188842,GP
PRASAD055,139285,GP
PRATTA021,124263,GP
PREDNY003,209520,GP
PRENDI001,161047,GP
PSEREC002,207740,GP
PUJAWI001,127316,GP
PUNCHI003,122700,GP
PURSER009,209351,GP
QUAINA004,107746,GP
RAJABA005,91995,GP
RAJARA019,135465,GP
RAJEND002,17591,GP
RAJUAA007,181030,GP
RAMAAA007,94988,GP
RANASI029,204983,GP
RANKAA003,179326,GP
RIAZAA008,177863,GP
RICKAR016,157682,GP
RINAUD002,178727,GP
ROBERT413,169795,GP
ROBINS182,122973,GP
RODGER034,161528,GP
ROGENM001,163025,GP
ROSTOM004,191954,GP
RYDERA003,123693,GP
SABBAD001,196049,GP
SAHAIA001,122780,GP
SALAMA016,89254,GP
SALING001,167832,GP
SCHOLE006,218738,GP
SCOTTA142,133120,GP
SECKIN001,142950,GP
SIDHUA023,151263,GP
SIRIWA009,123468,GP
SKVORT005,209828,GP
SMITHA562,107840,GP
SMITHA597,133703,GP
SOLANO002,107757,GP
STEADA006,172035,GP
SUBRAM051,233177,GP
TAMMIN001,154089,GP
TANAAA598,134157,GP
TANGAA164,150429,GP
TAOAAA012,142903,GP
TAYAAA116,233367,GP
TAYLOR282,134078,GP
TEOAAA108,235132,GP
THOMAS040,21221,GP
THOMPS200,165557,GP
THOMPS242,210391,GP
THORNE017,138255,GP
THUESE001,141909,GP
THUESE003,197882,GP
THUYAA001,90981,GP
TJOKRO005,199082,GP
TONAKI003,150555,GP
TRANAA227,142750,GP
TRANAA287,182609,GP
TRELEA002,153663,GP
TSAIAA020,149775,GP
TSEAAA035,109354,GP
TSENGA017,183185,GP
TURNBU026,171005,GP
TURNER167,212352,GP
URCHAA003,218711,GP
VALECH001,108372,GP
VANAAA013,126575,GP
WALLAA048,214482,GP
WALLAC064,161602,GP
WAREAA009,119583,GP
WAREAA011,139164,GP
WATTAA050,214556,GP
WHITEA199,157104,GP
WILSON311,97370,GP
WILSON383,160492,GP
WINDLE011,189984,GP
WITTIC002,166696,GP
WOLFEA006,159684,GP
WONGAA716,123404,GP
WONGAAA77,218021,GP
WUAAAA118,141006,GP
WUAAAA250,232964,GP
YANAAA021,109106,GP
YAPPAA009,226255,GP
YEUNGA053,135452,GP
YEUNGA092,217145,GP
YIPAAA052,144843,GP
YONGAA060,123088,GP
YONGGE001,162065,GP
YOUNGA240,209092,GP
ZAWADA006,219272,GP
ZHANGA058,135806,GP
ZHAOAA003,90584,GP
ZHOUAA026,142032,GP
ZHOUAA036,169909,GP
ZIMMER009,123883,GP
ABDULF001,241036,GP
ABDULH010,211216,GP
ABHAYA003,211677,GP
ABTAHI003,235822,GP
ADESIN001,232877,GP
ADIBIA001,219488,GP
AHMADA089,212752,GP
AHMADA093,215982,GP
AHMADP003,234505,GP
AHMEDA196,240839,GP
AHSANA004,235405,GP
AJJARA001,213412,GP
AKRAMA014,210726,GP
AKRAMA016,217985,GP
ALAMAA055,219971,GP
ALIAAA127,226214,GP
ALIREZ001,210184,GP
ALMANS003,241741,GP
ALTAHE001,236539,GP
AMINAA037,238849,GP
AMIRIA004,242281,GP
ANDERT005,223534,GP
AREFIN003,240927,GP
ARJANI001,219814,GP
ASAAMA001,213569,GP
ASEFIG001,219617,GP
ASLAMA025,221324,GP
AYENIA003,236625,GP
AYODEL001,235060,GP
AZMANA002,240282,GP
BADEER001,212573,GP
BAJWAA006,227476,GP
BALASU044,239155,GP
BANUAA006,237236,GP
BANYAA001,228589,GP
BAPATA003,210600,GP
BARADA001,217599,GP
BARADA002,241847,GP
BARTLE066,212975,GP
BASNAY010,212499,GP
BATOOL005,233874,GP
BHAJAN001,234248,GP
BHATTI009,217716,GP
BHATTI012,240609,GP
BIBIAA001,216801,GP
BOOTHA050,219547,GP
BOUAKL001,243621,GP
BOYNTO003,226743,GP
BRADLE047,215863,GP
BROWNA422,221365,GP
BUKHAR006,240425,GP
BYRNEA088,242361,GP
CHARAL005,241276,GP
CHIDOT001,229611,GP
CHISIR002,207588,GP
CHOWDH062,217128,GP
CHOWDH065,220089,GP
CHUAAA313,240526,GP
CHUMBE001,239700,GP
COLEMA079,241805,GP
CONROY017,238820,GP
CRUZAA005,219398,GP
DASAAA066,219407,GP
DAVARI008,240691,GP
DAVIEA009,220243,GP
DEEPAK003,221422,GP
DEHEST001,221935,GP
DEROSA006,211056,GP
DHALIW031,225641,GP
DILYAR003,225995,GP
DINAIR001,219167,GP
DRYASA002,235560,GP
DUTOIT013,228084,GP
ELANTH001,242212,GP
ELHARR001,210508,GP
ELKHAT004,219864,GP
ELSHAH001,233827,GP
EMAMIS001,227225,GP
FALLAH007,208628,GP
FAMAAA010,207711,GP
FAWADA001,220790,GP
FERNAN204,211353,GP
FOLEYA046,222898,GP
GABAHA001,231612,GP
GALAHI001,219898,GP
GAMBHI002,209988,GP
GANAAA081,212627,GP
GHAEMI001,212255,GP
GHOOCH001,211951,GP
GILMOR019,226510,GP
GOHARA002,235364,GP
GRAHAM164,231417,GP
GROVER022,221904,GP
GUNARA030,226220,GP
GUNASE034,207652,GP
GUPTAA188,211584,GP
HADIZA003,238325,GP
HAJIMI001,211454,GP
HALOOL001,233400,GP
HAMIDA022,228215,GP
HAMIDI006,240437,GP
HANNAA110,233891,GP
HASHEM009,226389,GP
HENINA001,212735,GP
HERRER005,232582,GP
HETTIT003,240058,GP
HOAAAA422,226340,GP
HOSSEI015,210326,GP
HUGHES196,207911,GP
HUGHES197,211810,GP
HUIAAA070,239899,GP
JAFFER006,240660,GP
JALALA003,227024,GP
JAMPAY001,237122,GP
JANINA004,240751,GP
JAVANM002,240513,GP
JAYASE034,214981,GP
JAYASI048,237154,GP
JOLLYC001,213325,GP
JONASS002,221292,GP
JOSEAA015,234419,GP
KAIRON001,209132,GP
KAMALI003,204722,GP
KAMALI005,221551,GP
KARING002,230675,GP
KARLAP001,214353,GP
KASHEM003,238808,GP
KELLAP002,210633,GP
KHADEM005,211140,GP
KHALIL031,211574,GP
KHANAA335,230466,GP
KHOSHN003,218953,GP
KIBUIA001,239407,GP
KOLEIN001,241605,GP
KONARA003,209820,GP
KRISHN142,227927,GP
KUIKEL001,225917,GP
KULASI009,236050,GP
KWANAA087,241255,GP
LAMAAA285,204847,GP
LAMBAA031,236448,GP
LANDYA008,243205,GP
LANGFO025,233426,GP
LAUAAA334,232335,GP
LAUAAA336,234122,GP
LAUAAA341,237279,GP
LEOAAA005,238321,GP
LEUNGA181,232886,GP
LEUNGA184,235266,GP
LEUNGA190,239933,GP
LOGHMA001,232324,GP
LOLLJE001,221537,GP
LONGAA070,227990,GP
LUNAAA022,226827,GP
MAAREF002,217546,GP
MAFUNG002,239336,GP
MAHDAV002,239453,GP
MAHMOO031,210660,GP
MAHMOU011,207290,GP
MAJDAA004,220046,GP
MAKARA005,221543,GP
MALIAN001,240882,GP
MASSEY010,221467,GP
MENSAH002,233059,GP
MISSAK003,227846,GP
MOHAME099,240074,GP
MOHANA047,239518,GP
MOREIR011,226135,GP
MOROKI001,227403,GP
MORRIS343,242097,GP
MORTAZ004,234849,GP
MOUSAA009,240782,GP
MUTHUK005,227830,GP
NAJIAA002,213264,GP
NAKARJ001,236057,GP
NAKHJA001,238894,GP
NASEEM005,228248,GP
NASRES002,225325,GP
NAZARI007,228233,GP
NEMIVA001,215585,GP
NGUIAA008,212860,GP
NOSRAT001,228243,GP
NOTGHI001,239389,GP
OBASAD001,241663,GP
ODONDI001,233185,GP
OGBOAA001,242240,GP
OLOWEA001,239251,GP
OLUTAY002,235458,GP
ONGAAA367,232326,GP
ONGAAA381,241898,GP
OPATHA001,219431,GP
OUDAAA005,211901,GP
PABARI002,234014,GP
PALAAA027,240287,GP
PATRIC031,236329,GP
PAULAA070,211329,GP
POLGOL001,207592,GP
POSPES002,227269,GP
PRAMAN006,241650,GP
PRISCI001,233385,GP
RAJAGU001,211826,GP
RAJAND002,227584,GP
RANJBA002,217560,GP
RASTEG003,237131,GP
RATHNA021,218982,GP
REESAA036,226361,GP
RITCHI029,220278,GP
ROBERT514,219973,GP
ROSTAM007,210872,GP
SAEEDA015,207751,GP
SAEEDA027,238192,GP
SAHARI001,209849,GP
SAKLAA004,235483,GP
SAKRAA002,221446,GP
SALEHA024,218271,GP
SALMAN010,241873,GP
SANDER081,241916,GP
SASANI002,234301,GP
SHAABA001,211426,GP
SHABAY002,211899,GP
SHAHAA141,215078,GP
SHAIKH017,212634,GP
SHEHAT008,219474,GP
SHEHAT012,236661,GP
SHENOU011,221258,GP
SHIRVA001,241984,GP
SOEAAA029,239508,GP
SOJOUD002,220978,GP
SOKARA001,221092,GP
SOLTAN004,233004,GP
SORENS010,207328,GP
SOURAK001,232979,GP
STCROI001,229852,GP
SURAWE001,210555,GP
SYEDAA031,213503,GP
TADIMA002,232598,GP
TADROS035,233438,GP
TADROU005,219133,GP
TALEBI003,240756,GP
TAWFIK010,220473,GP
TCYBAA001,240786,GP
TERLIA004,212236,GP
THANTA009,211194,GP
THILAK008,225631,GP
